Wordlist sampler;;;;;;;;;;;;;;;;;;;;;;;;;
The last 100 items from each thousand up to 100,000 words.;;;;;;;;;;;;;;;;;;;;;;;;;
corpus used: Timestamped JSI web corpus 2014-2019 English preloaded/eng_jsi_newsfeed_virt;;;;;;;;;;;;;;;;;;;;;;;;;
specifications: word list of word forms | case sensitive | no additonal filtering applied | no manual validation;;;;;;;;;;;;;;;;;;;;;;;;;
position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;position;;;
901-1000;1901-2000;2901-3000;3901-4000;4901-5000;5901-6000;6901-7000;7901-8000;8901-9000;9901-10000;14901-15000;19901-20000;24901-25000;29901-30000;34901-35000;39901-40000;44901-45000;49901-50000;59901-60000;69901-70000;79901-80000;89901-90000;99901-100000;;;
hospital;Fire;shortly;Palestinian;discount;Nathan;similarly;Zach;policing;k;Walters;Twilight;Permian;Nomura;Terrance;Surveys;Orrin;hitless;long-overdue;Washoe;Sukkur;umpire''s;Mocking;;;
arrested;notes;puts;projected;Thailand;restricted;Baptist;surveys;Results;disappearance;Responding;patiently;Cellular;sharpen;footballs;phablet;Amount;realtors;Ox;proffer;Bonhams;Proto;agar;;;
cause;fashion;networks;cheap;proceedings;preventing;exam;artwork;Consider;hacking;Railways;fest;Juno;Marshals;mind-boggling;Sulu;Playbook;man-to-man;HealthDay;Benelux;Chola;Comerford;Campaigner;;;
simply;arrest;recognition;exact;Nation;appealing;builds;Rebecca;expenditures;progression;dynasty;proactively;redefine;affords;whisked;Pichai;Smiles;whitening;hardball;eight-man;hypothyroidism;servants'';Athanasiou;;;
relationship;taxes;emerging;Thank;soul;co-founder;USB;debates;Cal;optimal;Cynthia;GTA;Islamists;Tannehill;Botox;Psalm;Geiger;Rauf;Homegrown;Kibaki;frilly;LCDs;Tigray;;;
learn;returns;desire;Way;arguments;fence;ugly;Adrian;HR;Paper;prosperous;MANILA;Improve;Rehman;Leasing;idiotic;Bannon''s;Meltzer;Arby''s;Prophecy;Gothamist;Paranoid;Walt''s;;;
overall;assault;expects;Nigerian;mood;Cuba;mature;Sources;assembled;cafe;regimes;heats;funerals;Bodies;Nomination;Bursa;Gwent;Silly;environment-friendly;Dunstable;ANF;Partido;Gastrointestinal;;;
test;welcome;encouraged;Missouri;night''s;copies;Visit;puck;shapes;massacre;Arabian;worsen;communism;Blank;trampoline;mermaid;foodstuffs;post-World;Earp;Bromsgrove;Sackler;pulleys;Jelani;;;
Do;advice;degrees;NCAA;Jake;competitions;Margaret;year-over-year;distinctive;parole;lodge;CDs;Wilkes-Barre;snuck;Hangzhou;injectable;splashes;Tamaqua;Siskiyou;hyenas;Leppard;Kentavious;seven-man;;;
levels;boys;gains;Lane;fighter;telephone;interactions;Angels;economically;Certainly;intricate;Rancho;WAR;endpoints;Iniesta;breakups;Mound;strode;watermark;Manisha;Cashel;ENTIRE;Keren;;;
complete;studies;die;defending;penalties;Dennis;cocaine;Basketball;haul;mount;lamb;synagogue;Grenfell;auditioned;receptionist;groundout;bungalows;Qingdao;victimised;reallocation;Portman''s;Haslem;Lysenko;;;
met;please;historical;compliance;Stanley;perceived;wounds;functioning;portrayed;Cost;diary;uplifting;Buckeye;laureate;Bn;Freed;Stitch;XXX;PVCs;aquariums;Louder;Head''s;Dwyer''s;;;
jobs;types;residential;departments;evil;rotation;shower;specialists;contributor;Sharif;Kejriwal;expansions;relayed;three-star;valiant;Kazakhstan''s;occult;Rob''s;self-reflection;Rivero;Vacancy;Watney;syllabi;;;
buy;famous;motion;titled;firefighters;nurse;par;Jeffrey;everyone''s;hills;NDA;immersed;assailant;Francisco-based;Needham;stairwell;Rawls;feasts;Leaders'';tizzy;plunked;Berbatov;Nikes;;;
stock;becomes;plastic;riding;Design;designers;specialty;voiced;Gates;Nixon;nonprofits;defy;academies;Macmillan;inflection;Judea;Burris;Cai;acetaminophen;Clorox;Singer-songwriter;stringed;Cuz;;;
Here;songs;Spanish;harm;movements;Gaza;vibrant;accusing;postponed;psychology;Fed''s;Chandigarh;waitress;MIAMI;Roper;Aberdeenshire;Beside;hell-bent;headfirst;Deserve;Cotterill;debits;corrode;;;
Health;alongside;spirit;paint;gather;urge;Welsh;hospitality;Fresh;electorate;Cause;fuss;expertly;RTE;topological;Strangers;visitor''s;cutouts;Trippier;troublemaker;Eurosceptics;Memoriam;line-drive;;;
winning;corner;Deputy;IS;Friends;Tower;trades;Kanye;Talking;encounters;tutorial;stimulating;Maitland;smacked;passers-by;Watchers;NYSC;syllable;Bangkok''s;Lloydminster;Whew;Bostwick;royalty-free;;;
effort;measure;Hillary;belief;knife;spectacular;fare;mask;Sara;judging;caliber;toxins;precincts;suitability;Masonic;SAID;National''s;spleen;Spreading;Iliad;E.g.;NFPA;in-office;;;
markets;closer;negotiations;visual;Hope;politician;counting;rivalry;cigarettes;patrons;replica;Hays;Faso;Arcadia;Rat;Pollack;EDITORIAL;Murrieta;Forensics;Omnibus;Believer;CD-ROM;Coloccini;;;
approach;willing;successfully;format;Panthers;origin;notified;Trevor;institute;probability;Certified;pro-life;HTTP;Hebdo;quilts;stochastic;postcode;Flint''s;trampling;BARCELONA;Ioniq;greenbelt;Carruth;;;
gas;discussion;controversial;reliable;universe;keys;Herald;extends;Pass;Step;Developers;Ramon;bitterness;Lillian;reverting;non-emergency;Confirmation;Citation;Cleaners;electrochemical;Ballerini;CFPB''s;spouted;;;
pressure;sitting;promise;Point;enhanced;objectives;Software;Programme;pan;warmer;da;Riding;Dinesh;activating;rye;roundly;divorces;wing-back;Baccalaureate;headdress;motivators;exotics;SEAS;;;
movie;considering;Women;sharp;dancing;approaching;Learning;recipes;economists;woes;corridors;Compliance;Seminoles;Gretchen;FAQ;TPC;Bluebirds;pet''s;floor-length;Deadwood;salutary;startle;Krishna''s;;;
press;delivery;Ukraine;Antonio;plea;Dark;back-to-back;excluding;yen;smallest;Botswana;malnutrition;Aung;peeled;mania;Elmira;Skylar;TSXV;sputtered;Salish;Alessia;Swinburne;Brun;;;
employees;enforcement;dress;sheet;sky;Going;Starting;thrive;volleyball;substances;cheat;Developing;SALT;VEGAS;invincible;prepped;Messina;Lauryn;Stallions;A.G.;best-of-breed;sagged;Inbetweeners;;;
center;Its;Eric;intense;pictured;tension;Jazz;sharply;LNG;GE;ruler;devoid;Highly;fast-moving;MoD;Adriana;flickering;uninspired;Campers;Sadness;command''s;Coppola''s;Juggling;;;
patients;supporting;alive;Digital;NASDAQ;dairy;certification;crowded;successes;transplant;sparkling;piling;reinforcement;Megyn;Prize-winning;Gibson''s;Budd;D3;Xero;KAZINFORM;burnish;Jann;Suitcase;;;
competition;Division;Photo;household;eggs;Oxford;tear;documentation;knocking;cookies;Fifty;seaside;Guillermo;penal;economy''s;armchair;Conyers;Hoffmann;TAM;Diller;Toubro;Insigne;ALEXANDRIA;;;
followed;pulled;listen;Coach;absolute;Follow;Images;Southampton;Leading;Europa;JP;Bakery;supper;VIX;ornamental;Naruto;ubiquity;Defined;Oldest;Malheur;relearn;even-handed;caress;;;
mind;guilty;beer;asks;anxiety;Beyond;swept;Bird;standout;Dixon;refresh;skins;misconceptions;brimming;lubricants;Massimo;Branding;Leake;buprenorphine;Lindsay''s;Tirupur;Tarkanian;all-cause;;;
else;bought;provider;Atlantic;default;missions;mall;competitor;Daniels;Vince;WR;ex-girlfriend;Hawkeyes;U.S.A.;Migrant;M6;dispenser;Caution;Jawbone;Norwich''s;laneway;Hotmail;Demetriou;;;
reach;Three;chose;outdoor;daughters;tragic;cope;protections;Mary''s;satisfying;Soldier;regimen;career-best;Melody;three-part;Gowdy;cryptography;high-altitude;falcons;BLOCK;Seawolves;Midi;Schutz;;;
contract;computer;improvements;Creek;containing;electronics;child''s;conjunction;destroying;borrow;Harare;Feature;clueless;Kate''s;deflated;categorised;Mujahideen;Agro;Jemima;liquidator;Standout;well-structured;Canajoharie;;;
numbers;division;Program;Village;opinions;Boys;oppose;warn;Say;Shawn;criticize;combustion;goose;SEOUL;Kindergarten;duke;Mei;NBS;Adjusting;conical;Touchstone;shockwave;Khune;;;
term;herself;efficiency;loves;tip;marketplace;tenants;threaten;Task;Klopp;cheered;registers;flared;P.O.;otherworldly;Kohler;brownie;medalists;PlayerUnknown''s;Stastny;Novato;Ulema;Borel;;;
rates;cold;finds;signal;theatre;Joint;strain;spirits;reconciliation;averages;paramount;doctorate;dusk;shirtless;Dart;Griffin''s;antigen;clubbing;Rumour;D23;Priti;Companys;Punjabis;;;
heart;faces;stretch;introduction;Township;salaries;dressing;Bluetooth;wished;Outlook;Privacy;fisherman;larceny;resurgent;force''s;DeWitt;Breweries;php;BT''s;Opelika;Ita;Ayan;RMP;;;
funding;farmers;acquired;attitude;Tax;Rogers;copper;bits;appetite;vegetable;Chang;Scottsdale;butcher;office''s;Readiness;OBE;HSC;big-box;Greene''s;Shovel;Beggs;Antwi;Teh;;;
network;views;representatives;designer;subsequently;neighborhoods;shorter;composition;baseman;assurance;Chocolate;clauses;Macdonald;choral;Manchin;biologically;Flea;G.I.;algebras;Facebook-owned;Gwangju;arrondissement;CGA;;;
happy;telling;refugees;membership;Australia''s;humanity;Shane;Quality;neighbourhood;forensic;unfairly;bowel;Scouting;lattice;lobbies;Vanderpump;four-man;Sherpa;international''s;whiskies;Newark''s;adults-only;Edsel;;;
fun;seek;inflation;restrictions;eliminate;Private;allocated;firm''s;Title;CBC;waving;Photoshop;Anti-Corruption;starch;PWD;pouches;combed;geologic;fides;Praising;pasties;HBS;agonized;;;
force;doubt;efficient;noise;Shares;frustration;statewide;consumed;NYC;softball;Herman;Innovative;uniting;Turing;RFC;millage;Dermatology;Parachute;Gordy;Waqf;Rake;Alcala;rate-setting;;;
Twitter;researchers;useful;techniques;honour;donors;follow-up;Walking;Trudeau;Pink;solitary;store''s;Norwood;Farmers'';Lesbian;overhang;Malcom;sweeper;unbanked;tamales;Sensational;non-volatile;Nine-year-old;;;
particularly;marriage;portion;print;fires;rated;supporter;demonstrates;intact;dismissal;drift;tragically;Nittany;Sensor;toxin;hippie;mediators;obedient;Gauchos;prisoner''s;appellation;ARRESTED;Henke;;;
revealed;path;Network;Steven;boyfriend;Magic;warnings;contested;reign;hottest;Buddy;nationalists;Airports;Eyewitness;Annex;mailboxes;PFF;DuVernay;2;R.I.P.;Guts;Passmore;QTS;;;
Congress;Richard;context;executives;nominee;euro;sustain;caps;Dollar;martial;Trying;non-existent;Algerian;authority''s;veracity;Mustapha;configurable;Potter''s;contravened;Maybin;Uncommon;paneer;TOS;;;
store;Nigeria;Dan;rookie;concerning;bird;Stuart;Del;suburbs;predominantly;Guinness;Beef;Kofi;arches;Palermo;Simba;court-ordered;Pont;Telecoms;FI;Ramli;Edsa;OPW;;;
attention;advanced;reaction;highlighted;transmission;blind;Milan;switching;Amber;Trading;motions;granite;Streep;credence;kickbacks;scooping;abandons;breakouts;mummies;Ju rez;cantonment;Costly;Heinlein;;;
foreign;wall;cycle;kicked;subjects;Hughes;Cold;Shop;bleeding;emergence;LLP;Hang;attrition;Seventeen;Roque;Gertrude;Explosives;Gaining;Coppa;okra;Greyjoy;Koreatown;Exempt;;;
Last;manufacturing;lawmakers;legs;Wood;foul;restructuring;beats;trim;recurring;ACL;compressed;thumping;hiccups;SolarCity;Omni;Lakota;Billy''s;Khumalo;Starfleet;biomaterials;Burdwan;Rundown;;;
required;actor;regime;prefer;Larry;assisted;Commercial;Railway;soap;Erdogan;lag;Downey;revolver;curly;Scoring;bottom-line;deporting;Bushnell;dainty;Badawi;por;locum;Borgata;;;
operations;entered;ƒ;wider;bound;formally;Prize;dealer;e-mail;Formula;allocate;License;Oral;Flaherty;southpaw;cross-party;Monastery;democrat;gamely;Damion;Haydon;Jaycee;H.P.;;;
watch;Let;regularly;summit;reads;criminals;misconduct;worrying;militant;Rao;Sonia;swirling;pathogens;kitty;MUCH;lounging;Malawians;viewfinder;SIDE;Yuletide;Baran;Hap;XJ;;;
ended;internet;dry;Part;mutual;shame;declaration;Downtown;Rules;Probably;three-time;TV''s;ill-fated;equestrian;Frampton;Dupont;rationalize;bariatric;NYCFC;NWSL;U-shaped;Maximize;GlobalData;;;
incident;speaking;reduction;striker;affair;symbol;Packers;fiber;flower;easing;NL;Vanity;Huron;red-hot;pucks;A8;Hydra;Maier;Crandall;post-doctoral;enticement;glorifies;SOF;;;
Since;largely;concert;Building;diabetes;yields;Pay;wash;premiums;goodbye;bombings;Duluth;on-air;ringgit;overdrive;sparsely;Yasir;spyware;Osuna;cologne;U-16;Stardom;Groceries;;;
original;plus;Justin;listening;provisions;flu;Villa;stranger;Doctors;confessed;Peterborough;mayhem;partner''s;Mallory;MSPs;mojo;Hardy''s;airlift;RPC;KRA;re-branding;fireflies;Grilli;;;
moving;millions;detailed;equally;presidency;diagnosis;kilometres;spite;maritime;homer;hangs;Briggs;Feldman;Potomac;Torino;Stiles;scrapes;expos‚;tailors;sparrows;Kuemper;first-down;inflator;;;
Chinese;generally;aside;completion;Pope;Recently;pets;pressed;Previously;Wagner;compression;levied;inconsistency;Mays;Constellation;Umesh;AIPAC;masturbating;Gallows;Thurlow;INVESTIGATION;Choudary;DED;;;
a.m.;Who;referred;adoption;Kings;brutal;permitted;transfers;factories;architectural;LCD;hopefuls;Journalist;Prosperity;dampened;curvy;I-5;absentia;QVC;Hurwitz;Watermark;Mzansi;R18;;;
evidence;responded;kitchen;blow;Stars;notably;editorial;Far;tally;seller;eyebrows;Apprentice;sub-Saharan;retreating;cuisines;PAP;Whisky;Garner''s;Zedong;rancor;Marlena;PAO;half-yearly;;;
address;Jackson;Philadelphia;Graham;honored;grid;allocation;pork;beverages;Gate;Charge;manager''s;spreadsheet;eSports;Handbook;Whedon;Orb n;Olympiacos;Singhal;Polymers;Garin;vote-buying;thatch;;;
provides;lived;indeed;stream;stance;urgent;Jamaica;H.;Joyce;Brock;induced;geometry;Dispatch;arithmetic;averse;Millsap;Headphones;unenviable;Enron;restate;Investor''s;Pits;Fujiwara;;;
CEO;worse;wild;describe;Islam;teeth;stabbed;Malcolm;closures;Turnbull;explanations;Murdoch;Franchise;honourable;PDA;bacterium;Cleo;Likes;Baltics;Genes;unfailingly;Gucci''s;Ventura''s;;;
England;Every;fewer;versions;Edward;Montreal;Studios;clearance;Microsoft''s;adventures;beneficiary;discrete;CBA;Padukone;Gamma;YA;Aga;Browder;Oklahoman;Mark-Viverito;Chobani;enterprise-level;handoffs;;;
content;strike;adopted;crude;Connecticut;memorable;burst;tropical;Kirk;damn;off-season;Dress;Saw;originality;senator''s;obtains;Ayer;Renewed;soccer''s;drunks;snowfalls;Goebel;Dairies;;;
happen;technical;Where;express;Tickets;Article;welcoming;Retail;son''s;foundations;Nifty;unfounded;ESA;toothpaste;peasant;self-taught;burlesque;straightened;photographer''s;denuclearisation;pur‚e;QNX;Frosh;;;
income;dark;persons;structures;Marshall;questioning;Israel''s;tasked;alien;honey;GCC;Demi;Ukrainians;disobedience;whisk;Territorial;forts;Crossover;Shopian;Aperture;Varna;lights-out;pectin;;;
looked;village;criticism;Nelson;Stock;Almost;Campaign;facial;Half;binding;rigs;Population;USSR;Citadel;Structural;blanked;disaffected;reciprocate;Libertyville;solicitations;romancing;Napthine;barbecuing;;;
via;decide;knowing;everywhere;Use;attorneys;rebuild;burglary;personalities;Actor;ruins;Comes;ISD;Calipari;SPF;storeys;subsection;Creamery;McDougal;BOY;Customized;non-judgmental;Danko;;;
defense;expand;ties;designs;converted;inform;Montana;conferences;Nationals;Jaguars;discontinued;ƒI;scuffle;aches;Imports;equating;LOW;TWTR;sequined;laggard;Aidy;paperbacks;Martinson;;;
